time,ca,T,label
0.2,0.012591027795636894,483.570552887236,0
0.24,0.014259061471711553,480.57017026310854,0
0.34,0.01889160669015156,473.8966816229257,0
0.39,0.021433007412876702,470.95204625303245,0
0.47000000000000003,0.025765949053880483,466.7111817820194,0
0.51,0.028038129780459175,464.78669632055784,0
0.58,0.03215068543588103,461.70019326208563,0
0.59,0.0327500960862529,461.2865712427426,0
0.6,0.033352053343120296,460.8794419278986,0
0.6900000000000001,0.03886049336332583,457.4909151637304,0
0.85,0.04880909635007706,452.542188083411,0
1.12,0.06469534411259607,446.65470997282534,0
1.22,0.0699055766884104,445.10376551202745,0
1.3,0.07370786362283156,444.0693149320975,0
1.57,0.08370037257475024,441.7306773202213,0
1.6,0.08452049896602261,441.5656601550962,0
1.71,0.08702794250310876,441.095839141256,0
1.8800000000000001,0.08944756623019669,440.72273797376204,0
1.9100000000000001,0.0897091671709951,440.69298114136177,0
2.08,0.09043126322825083,440.6711807450477,0
2.09,0.09043971648191391,440.67597469514016,0
2.1,0.09044504596750991,440.6812786941291,0
2.12,0.09044675165116037,440.69331807044586,0
2.21,0.09032749739771519,440.76639037262544,0
2.23,0.09027771486721171,440.78574971542076,0
2.47,0.08935603124163802,441.039175544116,0
2.5100000000000002,0.08918672451684888,441.0775059756248,0
2.7,0.08849464261228934,441.21802036299135,0
2.72,0.0884370468463945,441.22840964968236,0
2.73,0.0884094922452907,441.2332888352099,0
2.75,0.08835689211824442,441.242424276459,0
2.83,0.08818002730761904,441.270991885248,0
2.87,0.08811131631929459,441.2808158203116,0
2.88,0.08809611596220825,441.2828441386231,0
3.0,0.08797032310463024,441.2955834688096,0
3.04,0.0879490901347846,441.2958211580502,0
3.2,0.087940788684126,441.2836730260118,0
3.2800000000000002,0.08796846625871643,441.2729868614727,0
3.37,0.08801301110288409,441.2597929748394,0
3.46,0.08806373737063974,441.24686385898406,0
3.5,0.08808651895936401,441.24150176075733,0
3.54,0.08810879502496546,441.2364760420048,0
3.5500000000000003,0.08811424103031794,441.2352782394364,0
3.64,0.08816007373658263,441.22566773981396,0
3.84,0.08823386974260705,441.21229432802505,0
3.92,0.08825146383644018,441.2097903329208,0
4.05,0.08826717279991902,441.20838726720325,0
4.13,0.08827036051464057,441.20873821532314,0
4.15,0.08827063968008718,441.20890772939055,0
4.4,0.08825982127050716,441.21311218730506,0
0.03,0.1846906731323834,446.1568335380868,1
0.06,0.13028776966017772,456.0329309428038,1
0.09,0.0744527586618836,465.924149377398,1
0.2,0.022246246545629456,470.93738066411765,1
0.21,0.022476746329597903,470.43394173767854,1
0.29,0.026198895610439126,466.36984218386806,1
0.41000000000000003,0.033154391400163026,461.01396401273587,1
0.55,0.04175857524332218,455.9150821012264,1
0.71,0.05168144461065267,451.3235083538739,1
0.77,0.05531803893132537,449.8883471268769,1
0.8,0.057104637409654775,449.2232922232847,1
0.8200000000000001,0.05828175618700163,448.7985106102423,1
0.85,0.06002419871376625,448.18833899548986,1
0.86,0.060598365995313416,447.99197959123563,1
0.9400000000000001,0.06505657573631708,446.5419543342446,1
0.99,0.06770565824675438,445.7391961916447,1
1.05,0.07072579687128658,444.87386814526104,1
1.29,0.08077117313188392,442.35672396836617,1
1.44,0.08519988580039674,441.4328270909081,1
1.58,0.08802193861244394,440.9286578872507,1
1.69,0.08941560183429856,440.7266347975919,1
1.8,0.09018257650598782,440.6557176746215,1
1.92,0.0904469245634579,440.6850797806058,1
1.93,0.09044728281643337,440.6911785900768,1
1.96,0.0904317201583243,440.71204496825413,1
1.98,0.09040852948945047,440.72786042486655,1
2.0100000000000002,0.0903565969433844,440.7539820621086,1
2.2,0.08971241932211964,440.9526475482224,1
2.2600000000000002,0.0894561605975041,441.0157240872987,1
2.38,0.08895693375840859,441.1270558482003,1
2.56,0.08836543159161792,441.24095646918687,1
2.61,0.08824722767369024,441.2605925623655,1
2.62,0.08822610190672822,441.26393113295717,1
2.77,0.08800434471633575,441.2932507648031,1
2.88,0.08793986280884564,441.2950894491488,1
2.95,0.08793169862359151,441.2904450630899,1
3.13,0.08798539175265312,441.26766571741877,1
3.37,0.08811784510598435,441.2344933168154,1
3.5,0.08818103019605246,441.2215674160424,1
3.5100000000000002,0.08818523993786993,441.22076775186287,1
3.54,0.0881972423340871,441.2185369602813,1
3.68,0.0882404022418216,441.2113129511806,1
3.69,0.08824268190345275,441.2109827825579,1
3.7,0.08824485901852326,441.2106750218149,1
3.7800000000000002,0.08825872642687978,441.2089642045113,1
3.85,0.08826613058838396,441.2084186790789,1
3.87,0.0882675269944467,441.2083991046029,1
